"","Electoral District","Year","Party","2014 Percent","lowr","upr"
"137","Hunua",2017,"Conservative Party",0.0504,0,0
"138","Hunua",2017,"Green Party",0.0579,0,0
"139","Hunua",2017,"Labour Party",0.131,0,0
"140","Hunua",2017,"Mana",0.0046,0,0
"141","Hunua",2017,"Maori Party",0.004,0,0
"142","Hunua",2017,"National Party",0.6391,0,0
"143","Hunua",2017,"New Zealand First Party",0.0958,0,0
"144","Hunua",2017,"United Future",0.0023,0,0
"145","Hutt South",2017,"ACT",0.0066,0,0
"146","Hutt South",2017,"Conservative Party",0.0357,0,0
"147","Hutt South",2017,"Green Party",0.1275,0,0
"148","Hutt South",2017,"Labour Party",0.2798,0,0
"149","Hutt South",2017,"Mana",0.0072,0,0
"150","Hutt South",2017,"Maori Party",0.0053,0,0
"151","Hutt South",2017,"National Party",0.453,0,0
"152","Hutt South",2017,"New Zealand First Party",0.0748,0,0
"153","Hutt South",2017,"United Future",0.0035,0,0
"154","Ilam",2017,"ACT",0.0099,0,0
"155","Ilam",2017,"Conservative Party",0.0368,0,0
"156","Ilam",2017,"Green Party",0.1296,0,0
"157","Ilam",2017,"Labour Party",0.1767,0,0
"158","Ilam",2017,"Mana",0.0066,0,0
"159","Ilam",2017,"Maori Party",0.0048,0,0
"160","Ilam",2017,"National Party",0.5772,0,0
"161","Ilam",2017,"New Zealand First Party",0.0512,0,0
"162","Ilam",2017,"United Future",0.0026,0,0
"163","Invercargill",2017,"ACT",0.0033,0,0
"164","Invercargill",2017,"Conservative Party",0.0368,0,0
"165","Invercargill",2017,"Green Party",0.0757,0,0
"166","Invercargill",2017,"Labour Party",0.2507,0,0
"167","Invercargill",2017,"Mana",0.0062,0,0
"168","Invercargill",2017,"Maori Party",0.0032,0,0
"169","Invercargill",2017,"National Party",0.4948,0,0
"170","Invercargill",2017,"New Zealand First Party",0.1116,0,0
"171","Invercargill",2017,"United Future",0.002,0,0
"172","Kaikoura",2017,"ACT",0.0039,0,0
"173","Kaikoura",2017,"Conservative Party",0.0466,0,0
"174","Kaikoura",2017,"Green Party",0.0918,0,0
"175","Kaikoura",2017,"Labour Party",0.171,0,0
"176","Kaikoura",2017,"Mana",0.0046,0,0
"177","Kaikoura",2017,"Maori Party",0.0036,0,0
"178","Kaikoura",2017,"National Party",0.5664,0,0
"179","Kaikoura",2017,"New Zealand First Party",0.0985,0,0
"180","Kaikoura",2017,"United Future",0.0026,0,0
"181","Kelston",2017,"ACT",0.01,0,0
"182","Kelston",2017,"Conservative Party",0.0296,0,0
"183","Kelston",2017,"Green Party",0.1074,0,0
"184","Kelston",2017,"Labour Party",0.4213,0,0
"185","Kelston",2017,"Mana",0.0141,0,0
"186","Kelston",2017,"Maori Party",0.0031,0,0
"187","Kelston",2017,"National Party",0.3232,0,0
"188","Kelston",2017,"New Zealand First Party",0.0845,0,0
"189","Kelston",2017,"United Future",0.0016,0,0
"190","Mana",2017,"ACT",0.0022,0,0
"191","Mana",2017,"Conservative Party",0.0267,0,0
"192","Mana",2017,"Green Party",0.128,0,0
"193","Mana",2017,"Labour Party",0.3439,0,0
"194","Mana",2017,"Mana",0.0096,0,0
"195","Mana",2017,"Maori Party",0.0062,0,0
"196","Mana",2017,"National Party",0.4053,0,0
"197","Mana",2017,"New Zealand First Party",0.068,0,0
"198","Mana",2017,"United Future",0.0032,0,0
"199","Mangere",2017,"ACT",0.0025,0,0
"200","Mangere",2017,"Conservative Party",0.0307,0,0
"201","Mangere",2017,"Green Party",0.0397,0,0
"202","Mangere",2017,"Labour Party",0.6756,0,0
"203","Mangere",2017,"Mana",0.0119,0,0
"204","Mangere",2017,"Maori Party",0.0045,0,0
"205","Mangere",2017,"National Party",0.1566,0,0
"206","Mangere",2017,"New Zealand First Party",0.0735,0,0
"207","Mangere",2017,"United Future",0.001,0,0
"208","Manukau East",2017,"ACT",0.0067,0,0
"209","Manukau East",2017,"Conservative Party",0.0208,0,0
"210","Manukau East",2017,"Green Party",0.0365,0,0
"211","Manukau East",2017,"Labour Party",0.637,0,0
"212","Manukau East",2017,"Mana",0.0104,0,0
"213","Manukau East",2017,"Maori Party",0.0032,0,0
"214","Manukau East",2017,"National Party",0.2029,0,0
"215","Manukau East",2017,"New Zealand First Party",0.078,0,0
"216","Manukau East",2017,"United Future",7e-04,0,0
"217","Manurewa",2017,"ACT",0.0057,0,0
"218","Manurewa",2017,"Conservative Party",0.0282,0,0
"219","Manurewa",2017,"Green Party",0.0397,0,0
"220","Manurewa",2017,"Labour Party",0.5303,0,0
"221","Manurewa",2017,"Mana",0.0115,0,0
"222","Manurewa",2017,"Maori Party",0.0069,0,0
"223","Manurewa",2017,"National Party",0.2769,0,0
"224","Manurewa",2017,"New Zealand First Party",0.0949,0,0
"225","Manurewa",2017,"United Future",9e-04,0,0
"226","Maungakiekie",2017,"ACT",0.0148,0,0
"227","Maungakiekie",2017,"Conservative Party",0.0317,0,0
"228","Maungakiekie",2017,"Green Party",0.0946,0,0
"229","Maungakiekie",2017,"Labour Party",0.353,0,0
"230","Maungakiekie",2017,"Mana",0.0109,0,0
"231","Maungakiekie",2017,"Maori Party",0.0054,0,0
"232","Maungakiekie",2017,"National Party",0.4165,0,0
"233","Maungakiekie",2017,"New Zealand First Party",0.0661,0,0
"234","Maungakiekie",2017,"United Future",0.0023,0,0
"235","Mt Albert",2017,"ACT",0.0097,0,0
"236","Mt Albert",2017,"Conservative Party",0.0196,0,0
"237","Mt Albert",2017,"Green Party",0.2178,0,0
"238","Mt Albert",2017,"Labour Party",0.2945,0,0
"239","Mt Albert",2017,"Mana",0.0164,0,0
"240","Mt Albert",2017,"Maori Party",0.0048,0,0
"241","Mt Albert",2017,"National Party",0.3908,0,0
"242","Mt Albert",2017,"New Zealand First Party",0.0411,0,0
"243","Mt Albert",2017,"United Future",0.0016,0,0
"244","Mt Roskill",2017,"ACT",0.018,0,0
"245","Mt Roskill",2017,"Conservative Party",0.0366,0,0
"246","Mt Roskill",2017,"Green Party",0.0967,0,0
"247","Mt Roskill",2017,"Labour Party",0.3563,0,0
"248","Mt Roskill",2017,"Mana",0.009,0,0
"249","Mt Roskill",2017,"Maori Party",0.0039,0,0
"250","Mt Roskill",2017,"National Party",0.4208,0,0
"251","Mt Roskill",2017,"New Zealand First Party",0.0532,0,0
"252","Mt Roskill",2017,"United Future",0.002,0,0
"253","Napier",2017,"ACT",0.0028,0,0
"254","Napier",2017,"Conservative Party",0.0623,0,0
"255","Napier",2017,"Green Party",0.0877,0,0
"256","Napier",2017,"Labour Party",0.2596,0,0
"257","Napier",2017,"Mana",0.006,0,0
"258","Napier",2017,"Maori Party",0.0044,0,0
"259","Napier",2017,"National Party",0.4938,0,0
"260","Napier",2017,"New Zealand First Party",0.0743,0,0
"261","Napier",2017,"United Future",0.0017,0,0
"262","Nelson",2017,"ACT",0.004,0,0
"263","Nelson",2017,"Conservative Party",0.055,0,0
"264","Nelson",2017,"Green Party",0.1414,0,0
"265","Nelson",2017,"Labour Party",0.2471,0,0
"266","Nelson",2017,"Mana",0.0083,0,0
"267","Nelson",2017,"Maori Party",0.0033,0,0
"268","Nelson",2017,"National Party",0.4443,0,0
"269","Nelson",2017,"New Zealand First Party",0.0767,0,0
"270","Nelson",2017,"United Future",0.0025,0,0
"271","New Lynn",2017,"ACT",0.0162,0,0
"272","New Lynn",2017,"Conservative Party",0.0368,0,0
"273","New Lynn",2017,"Green Party",0.1005,0,0
"274","New Lynn",2017,"Labour Party",0.3609,0,0
"275","New Lynn",2017,"Mana",0.011,0,0
"276","New Lynn",2017,"Maori Party",0.0036,0,0
"277","New Lynn",2017,"National Party",0.3923,0,0
"278","New Lynn",2017,"New Zealand First Party",0.0718,0,0
"279","New Lynn",2017,"United Future",0.0017,0,0
"280","New Plymouth",2017,"ACT",0.0046,0,0
"281","New Plymouth",2017,"Conservative Party",0.032,0,0
"282","New Plymouth",2017,"Green Party",0.08,0,0
"283","New Plymouth",2017,"Labour Party",0.2116,0,0
"284","New Plymouth",2017,"Mana",0.007,0,0
"285","New Plymouth",2017,"Maori Party",0.0053,0,0
"286","New Plymouth",2017,"National Party",0.5584,0,0
"287","New Plymouth",2017,"New Zealand First Party",0.0904,0,0
"288","New Plymouth",2017,"United Future",0.0018,0,0
"289","North Shore",2017,"ACT",0.0142,0,0
"290","North Shore",2017,"Conservative Party",0.0434,0,0
"291","North Shore",2017,"Green Party",0.1069,0,0
"292","North Shore",2017,"Labour Party",0.1421,0,0
"293","North Shore",2017,"Mana",0.0065,0,0
"294","North Shore",2017,"Maori Party",0.0045,0,0
"295","North Shore",2017,"National Party",0.6171,0,0
"296","North Shore",2017,"New Zealand First Party",0.0583,0,0
"297","North Shore",2017,"United Future",0.0025,0,0
"298","Northcote",2017,"ACT",0.0162,0,0
"299","Northcote",2017,"Conservative Party",0.0431,0,0
"300","Northcote",2017,"Green Party",0.1161,0,0
"301","Northcote",2017,"Labour Party",0.2211,0,0
"302","Northcote",2017,"Mana",0.0095,0,0
"303","Northcote",2017,"Maori Party",0.0046,0,0
"304","Northcote",2017,"National Party",0.5071,0,0
"305","Northcote",2017,"New Zealand First Party",0.0732,0,0
"306","Northcote",2017,"United Future",0.0034,0,0
"307","Northland",2017,"ACT",0.0046,0,0
"308","Northland",2017,"Conservative Party",0.0631,0,0
"309","Northland",2017,"Green Party",0.1084,0,0
"310","Northland",2017,"Labour Party",0.1663,0,0
"311","Northland",2017,"Mana",0.0169,0,0
"312","Northland",2017,"Maori Party",0.0059,0,0
"313","Northland",2017,"National Party",0.4897,0,0
"314","Northland",2017,"New Zealand First Party",0.1279,0,0
"315","Northland",2017,"United Future",0.002,0,0
"316","Ohariu",2017,"ACT",0.0067,0,0
"317","Ohariu",2017,"Conservative Party",0.03,0,0
"318","Ohariu",2017,"Green Party",0.1507,0,0
"319","Ohariu",2017,"Labour Party",0.235,0,0
"320","Ohariu",2017,"Mana",0.0069,0,0
"321","Ohariu",2017,"Maori Party",0.0058,0,0
"322","Ohariu",2017,"National Party",0.504,0,0
"323","Ohariu",2017,"New Zealand First Party",0.0477,0,0
"324","Ohariu",2017,"United Future",0.0073,0,0
"325","Otaki",2017,"ACT",0.0029,0,0
"326","Otaki",2017,"Conservative Party",0.0441,0,0
"327","Otaki",2017,"Green Party",0.0946,0,0
"328","Otaki",2017,"Labour Party",0.2484,0,0
"329","Otaki",2017,"Mana",0.0065,0,0
"330","Otaki",2017,"Maori Party",0.0044,0,0
"331","Otaki",2017,"National Party",0.4908,0,0
"332","Otaki",2017,"New Zealand First Party",0.0996,0,0
"333","Otaki",2017,"United Future",0.0019,0,0
"334","Pakuranga",2017,"ACT",0.0296,0,0
"335","Pakuranga",2017,"Conservative Party",0.0559,0,0
"336","Pakuranga",2017,"Green Party",0.0635,0,0
"337","Pakuranga",2017,"Labour Party",0.1596,0,0
"338","Pakuranga",2017,"Mana",0.0062,0,0
"339","Pakuranga",2017,"Maori Party",0.0031,0,0
"340","Pakuranga",2017,"National Party",0.6041,0,0
"341","Pakuranga",2017,"New Zealand First Party",0.0711,0,0
"342","Pakuranga",2017,"United Future",0.0023,0,0
"343","Palmerston North",2017,"ACT",0.0051,0,0
"344","Palmerston North",2017,"Conservative Party",0.0451,0,0
"345","Palmerston North",2017,"Green Party",0.0987,0,0
"346","Palmerston North",2017,"Labour Party",0.3097,0,0
"347","Palmerston North",2017,"Mana",0.0096,0,0
"348","Palmerston North",2017,"Maori Party",0.0048,0,0
"349","Palmerston North",2017,"National Party",0.4321,0,0
"350","Palmerston North",2017,"New Zealand First Party",0.0866,0,0
"351","Palmerston North",2017,"United Future",0.0023,0,0
"352","Papakura",2017,"ACT",0.0063,0,0
"353","Papakura",2017,"Conservative Party",0.0414,0,0
"354","Papakura",2017,"Green Party",0.0521,0,0
"355","Papakura",2017,"Labour Party",0.2593,0,0
"356","Papakura",2017,"Mana",0.008,0,0
"357","Papakura",2017,"Maori Party",0.005,0,0
"358","Papakura",2017,"National Party",0.5128,0,0
"359","Papakura",2017,"New Zealand First Party",0.1081,0,0
"360","Papakura",2017,"United Future",0.0017,0,0
"361","Port Hills",2017,"ACT",0.0044,0,0
"362","Port Hills",2017,"Conservative Party",0.0311,0,0
"363","Port Hills",2017,"Green Party",0.1709,0,0
"364","Port Hills",2017,"Labour Party",0.2387,0,0
"365","Port Hills",2017,"Mana",0.0075,0,0
"366","Port Hills",2017,"Maori Party",0.004,0,0
"367","Port Hills",2017,"National Party",0.4696,0,0
"368","Port Hills",2017,"New Zealand First Party",0.0662,0,0
"369","Port Hills",2017,"United Future",0.002,0,0
"370","Rangitata",2017,"ACT",0.0046,0,0
"371","Rangitata",2017,"Conservative Party",0.0437,0,0
"372","Rangitata",2017,"Green Party",0.075,0,0
"373","Rangitata",2017,"Labour Party",0.2228,0,0
"374","Rangitata",2017,"Mana",0.0039,0,0
"375","Rangitata",2017,"Maori Party",0.0026,0,0
"376","Rangitata",2017,"National Party",0.5555,0,0
"377","Rangitata",2017,"New Zealand First Party",0.0787,0,0
"378","Rangitata",2017,"United Future",0.0031,0,0
"379","Rangitikei",2017,"ACT",0.0038,0,0
"380","Rangitikei",2017,"Conservative Party",0.061,0,0
"381","Rangitikei",2017,"Green Party",0.0781,0,0
"382","Rangitikei",2017,"Labour Party",0.1849,0,0
"383","Rangitikei",2017,"Mana",0.006,0,0
"384","Rangitikei",2017,"Maori Party",0.0056,0,0
"385","Rangitikei",2017,"National Party",0.5364,0,0
"386","Rangitikei",2017,"New Zealand First Party",0.1129,0,0
"387","Rangitikei",2017,"United Future",0.0022,0,0
"388","Rimutaka",2017,"ACT",0.0034,0,0
"389","Rimutaka",2017,"Conservative Party",0.0403,0,0
"390","Rimutaka",2017,"Green Party",0.0852,0,0
"391","Rimutaka",2017,"Labour Party",0.3288,0,0
"392","Rimutaka",2017,"Mana",0.0087,0,0
"393","Rimutaka",2017,"Maori Party",0.004,0,0
"394","Rimutaka",2017,"National Party",0.4145,0,0
"395","Rimutaka",2017,"New Zealand First Party",0.1028,0,0
"396","Rimutaka",2017,"United Future",0.0033,0,0
"397","Rodney",2017,"ACT",0.0049,0,0
"398","Rodney",2017,"Conservative Party",0.0677,0,0
"399","Rodney",2017,"Green Party",0.0852,0,0
"400","Rodney",2017,"Labour Party",0.1233,0,0
"401","Rodney",2017,"Mana",0.0059,0,0
"402","Rodney",2017,"Maori Party",0.0036,0,0
"403","Rodney",2017,"National Party",0.6116,0,0
"404","Rodney",2017,"New Zealand First Party",0.0909,0,0
"405","Rodney",2017,"United Future",0.0021,0,0
"406","Rongotai",2017,"ACT",0.0031,0,0
"407","Rongotai",2017,"Conservative Party",0.0162,0,0
"408","Rongotai",2017,"Green Party",0.2642,0,0
"409","Rongotai",2017,"Labour Party",0.3052,0,0
"410","Rongotai",2017,"Mana",0.0147,0,0
"411","Rongotai",2017,"Maori Party",0.0062,0,0
"412","Rongotai",2017,"National Party",0.3273,0,0
"413","Rongotai",2017,"New Zealand First Party",0.0544,0,0
"414","Rongotai",2017,"United Future",0.0037,0,0
"415","Rotorua",2017,"ACT",0.0042,0,0
"416","Rotorua",2017,"Conservative Party",0.0401,0,0
"417","Rotorua",2017,"Green Party",0.0675,0,0
"418","Rotorua",2017,"Labour Party",0.2117,0,0
"419","Rotorua",2017,"Mana",0.008,0,0
"420","Rotorua",2017,"Maori Party",0.0143,0,0
"421","Rotorua",2017,"National Party",0.5205,0,0
"422","Rotorua",2017,"New Zealand First Party",0.122,0,0
"423","Rotorua",2017,"United Future",0.0021,0,0
"424","Selwyn",2017,"ACT",0.0039,0,0
"425","Selwyn",2017,"Conservative Party",0.0349,0,0
"426","Selwyn",2017,"Green Party",0.109,0,0
"427","Selwyn",2017,"Labour Party",0.1297,0,0
"428","Selwyn",2017,"Mana",0.0051,0,0
"429","Selwyn",2017,"Maori Party",0.0031,0,0
"430","Selwyn",2017,"National Party",0.6358,0,0
"431","Selwyn",2017,"New Zealand First Party",0.0695,0,0
"432","Selwyn",2017,"United Future",0.0024,0,0
"433","Tamaki",2017,"ACT",0.0137,0,0
"434","Tamaki",2017,"Conservative Party",0.0306,0,0
"435","Tamaki",2017,"Green Party",0.0881,0,0
"436","Tamaki",2017,"Labour Party",0.1481,0,0
"437","Tamaki",2017,"Mana",0.0072,0,0
"438","Tamaki",2017,"Maori Party",0.0048,0,0
"439","Tamaki",2017,"National Party",0.657,0,0
"440","Tamaki",2017,"New Zealand First Party",0.0442,0,0
"441","Tamaki",2017,"United Future",0.0019,0,0
"442","Taranaki-King Country",2017,"ACT",0.0036,0,0
"443","Taranaki-King Country",2017,"Conservative Party",0.0568,0,0
"444","Taranaki-King Country",2017,"Green Party",0.0721,0,0
"445","Taranaki-King Country",2017,"Labour Party",0.1335,0,0
"446","Taranaki-King Country",2017,"Mana",0.0057,0,0
"447","Taranaki-King Country",2017,"Maori Party",0.0055,0,0
"448","Taranaki-King Country",2017,"National Party",0.6146,0,0
"449","Taranaki-King Country",2017,"New Zealand First Party",0.0948,0,0
"450","Taranaki-King Country",2017,"United Future",0.0025,0,0
"451","Taupo",2017,"ACT",0.0025,0,0
"452","Taupo",2017,"Conservative Party",0.0477,0,0
"453","Taupo",2017,"Green Party",0.0614,0,0
"454","Taupo",2017,"Labour Party",0.1863,0,0
"455","Taupo",2017,"Mana",0.0052,0,0
"456","Taupo",2017,"Maori Party",0.0082,0,0
"457","Taupo",2017,"National Party",0.5713,0,0
"458","Taupo",2017,"New Zealand First Party",0.1029,0,0
"459","Taupo",2017,"United Future",0.0026,0,0
"460","Tauranga",2017,"ACT",0.0036,0,0
"461","Tauranga",2017,"Conservative Party",0.0578,0,0
"462","Tauranga",2017,"Green Party",0.0712,0,0
"463","Tauranga",2017,"Labour Party",0.1443,0,0
"464","Tauranga",2017,"Mana",0.0048,0,0
"465","Tauranga",2017,"Maori Party",0.006,0,0
"466","Tauranga",2017,"National Party",0.5581,0,0
"467","Tauranga",2017,"New Zealand First Party",0.145,0,0
"468","Tauranga",2017,"United Future",0.0025,0,0
"469","Te Atatu",2017,"ACT",0.0136,0,0
"470","Te Atatu",2017,"Conservative Party",0.0375,0,0
"471","Te Atatu",2017,"Green Party",0.0811,0,0
"472","Te Atatu",2017,"Labour Party",0.3504,0,0
"473","Te Atatu",2017,"Mana",0.0115,0,0
"474","Te Atatu",2017,"Maori Party",0.0043,0,0
"475","Te Atatu",2017,"National Party",0.4112,0,0
"476","Te Atatu",2017,"New Zealand First Party",0.0841,0,0
"477","Te Atatu",2017,"United Future",0.0016,0,0
"478","Tukituki",2017,"ACT",0.004,0,0
"479","Tukituki",2017,"Conservative Party",0.0656,0,0
"480","Tukituki",2017,"Green Party",0.0857,0,0
"481","Tukituki",2017,"Labour Party",0.2284,0,0
"482","Tukituki",2017,"Mana",0.0068,0,0
"483","Tukituki",2017,"Maori Party",0.0052,0,0
"484","Tukituki",2017,"National Party",0.52,0,0
"485","Tukituki",2017,"New Zealand First Party",0.076,0,0
"486","Tukituki",2017,"United Future",0.0016,0,0
"487","Upper Harbour",2017,"ACT",0.0135,0,0
"488","Upper Harbour",2017,"Conservative Party",0.0485,0,0
"489","Upper Harbour",2017,"Green Party",0.07,0,0
"490","Upper Harbour",2017,"Labour Party",0.2345,0,0
"491","Upper Harbour",2017,"Mana",0.0086,0,0
"492","Upper Harbour",2017,"Maori Party",0.0036,0,0
"493","Upper Harbour",2017,"National Party",0.5446,0,0
"494","Upper Harbour",2017,"New Zealand First Party",0.0695,0,0
"495","Upper Harbour",2017,"United Future",0.0021,0,0
"496","Waikato",2017,"ACT",0.0053,0,0
"497","Waikato",2017,"Conservative Party",0.0572,0,0
"498","Waikato",2017,"Green Party",0.0578,0,0
"499","Waikato",2017,"Labour Party",0.1478,0,0
"500","Waikato",2017,"Mana",0.005,0,0
"501","Waikato",2017,"Maori Party",0.0055,0,0
"502","Waikato",2017,"National Party",0.6021,0,0
"503","Waikato",2017,"New Zealand First Party",0.1079,0,0
"504","Waikato",2017,"United Future",0.0022,0,0
"505","Waimakariri",2017,"ACT",0.0022,0,0
"506","Waimakariri",2017,"Conservative Party",0.0433,0,0
