Electoral District,Year,Party,Weak,Strong
Nelson,2011,Mana,0.0019,0
Nelson,2011,Maori Party,0.0046,0
Nelson,2011,National Party,0.32,0.1341
Nelson,2011,New Zealand First Party,0.0542,0
Nelson,2011,United Future,0.0099,0
New Lynn,2011,ACT,0.0099,0
New Lynn,2011,Alliance,5.00E-04,0
New Lynn,2011,Conservative Party,0.0259,0
New Lynn,2011,Green Party,0.1215,0
New Lynn,2011,Labour Party,0.32,0.05
New Lynn,2011,Mana,0.0045,0
New Lynn,2011,Maori Party,0.0044,0
New Lynn,2011,National Party,0.32,0.0722
New Lynn,2011,New Zealand First Party,0.0618,0
New Lynn,2011,United Future,0.0038,0
New Plymouth,2011,ACT,0.0102,0
New Plymouth,2011,Alliance,3.00E-04,0
New Plymouth,2011,Conservative Party,0.0197,0
New Plymouth,2011,Green Party,0.0965,0
New Plymouth,2011,Labour Party,0.2582,0
New Plymouth,2011,Mana,0.0021,0
New Plymouth,2011,Maori Party,0.0061,0
New Plymouth,2011,National Party,0.32,0.2126
New Plymouth,2011,New Zealand First Party,0.063,0
New Plymouth,2011,United Future,0.0045,0
North Shore,2011,ACT,0.0192,0
North Shore,2011,Alliance,2.00E-04,0
North Shore,2011,Conservative Party,0.0223,0
North Shore,2011,Green Party,0.1085,0
North Shore,2011,Labour Party,0.1623,0
North Shore,2011,Mana,0.0017,0
North Shore,2011,Maori Party,0.006,0
North Shore,2011,National Party,0.32,0.3016
North Shore,2011,New Zealand First Party,0.0486,0
North Shore,2011,United Future,0.0048,0
Northcote,2011,ACT,0.0147,0
Northcote,2011,Alliance,3.00E-04,0
Northcote,2011,Conservative Party,0.0249,0
Northcote,2011,Green Party,0.1094,0
Northcote,2011,Labour Party,0.2502,0
Northcote,2011,Mana,0.0031,0
Northcote,2011,Maori Party,0.0055,0
Northcote,2011,National Party,0.32,0.2026
Northcote,2011,New Zealand First Party,0.0565,0
Northcote,2011,United Future,0.0058,0
Northland,2011,ACT,0.0164,0
Northland,2011,Alliance,3.00E-04,0
Northland,2011,Conservative Party,0.0525,0
Northland,2011,Green Party,0.1178,0
Northland,2011,Labour Party,0.176,0
Northland,2011,Mana,0.0129,0
Northland,2011,Maori Party,0.0079,0
Northland,2011,National Party,0.32,0.1815
Northland,2011,New Zealand First Party,0.1019,0
Northland,2011,United Future,0.0046,0
Ohariu,2011,ACT,0.0076,0
Ohariu,2011,Alliance,3.00E-04,0
Ohariu,2011,Conservative Party,0.0168,0
Ohariu,2011,Green Party,0.1442,0
Ohariu,2011,Labour Party,0.2653,0
Ohariu,2011,Mana,0.0019,0
Ohariu,2011,Maori Party,0.0053,0
Ohariu,2011,National Party,0.32,0.176
Ohariu,2011,New Zealand First Party,0.0391,0
Ohariu,2011,United Future,0.0178,0
Otaki,2011,ACT,0.0067,0
Otaki,2011,Alliance,3.00E-04,0
Otaki,2011,Conservative Party,0.0319,0
Otaki,2011,Green Party,0.096,0
Otaki,2011,Labour Party,0.2959,0
Otaki,2011,Mana,0.0021,0
Otaki,2011,Maori Party,0.0056,0
Otaki,2011,National Party,0.32,0.1479
Otaki,2011,New Zealand First Party,0.0812,0
Otaki,2011,United Future,0.0071,0
Pakuranga,2011,ACT,0.0179,0
Pakuranga,2011,Alliance,6.00E-04,0
Pakuranga,2011,Conservative Party,0.0355,0
Pakuranga,2011,Green Party,0.0621,0
Pakuranga,2011,Labour Party,0.1862,0
Pakuranga,2011,Mana,0.0012,0
Pakuranga,2011,Maori Party,0.0033,0
Pakuranga,2011,National Party,0.32,0.308
Pakuranga,2011,New Zealand First Party,0.0567,0
Pakuranga,2011,United Future,0.0046,0
Palmerston North,2011,ACT,0.0074,0
Palmerston North,2011,Alliance,7.00E-04,0
Palmerston North,2011,Conservative Party,0.0302,0
Palmerston North,2011,Green Party,0.105,0
Palmerston North,2011,Labour Party,0.32,0.0188
Palmerston North,2011,Mana,0.0028,0
Palmerston North,2011,Maori Party,0.0051,0
Palmerston North,2011,National Party,0.32,0.1212
Palmerston North,2011,New Zealand First Party,0.0566,0
Palmerston North,2011,United Future,0.0064,0
Papakura,2011,ACT,0.0105,0
Papakura,2011,Alliance,3.00E-04,0
Papakura,2011,Conservative Party,0.0306,0
Papakura,2011,Green Party,0.0547,0
Papakura,2011,Labour Party,0.2721,0
Papakura,2011,Mana,0.005,0
Papakura,2011,Maori Party,0.0058,0
Papakura,2011,National Party,0.32,0.2062
Papakura,2011,New Zealand First Party,0.0848,0
Papakura,2011,United Future,0.0042,0
Port Hills,2011,ACT,0.0074,0
Port Hills,2011,Alliance,7.00E-04,0
Port Hills,2011,Conservative Party,0.0165,0
Port Hills,2011,Green Party,0.1606,0.0354
Port Hills,2011,Labour Party,0.2764,0
Port Hills,2011,Mana,0.0031,0
Port Hills,2011,Maori Party,0.0041,0
Port Hills,2011,National Party,0.32,0.1166
Port Hills,2011,New Zealand First Party,0.0483,0
Port Hills,2011,United Future,0.0047,0
Rangitata,2011,ACT,0.0102,0
Rangitata,2011,Alliance,7.00E-04,0
Rangitata,2011,Conservative Party,0.024,0
Rangitata,2011,Green Party,0.0805,0
Rangitata,2011,Labour Party,0.2696,0
Rangitata,2011,Mana,9.00E-04,0
Rangitata,2011,Maori Party,0.0034,0
Rangitata,2011,National Party,0.32,0.2166
Rangitata,2011,New Zealand First Party,0.058,0
Rangitata,2011,United Future,0.0085,0
Rangitikei,2011,ACT,0.0151,0
Rangitikei,2011,Alliance,4.00E-04,0
Rangitikei,2011,Conservative Party,0.042,0
Rangitikei,2011,Green Party,0.0944,0
Rangitikei,2011,Labour Party,0.2119,0
Rangitikei,2011,Mana,0.002,0
Rangitikei,2011,Maori Party,0.0078,0
Rangitikei,2011,National Party,0.32,0.2194
Rangitikei,2011,New Zealand First Party,0.0726,0
Rangitikei,2011,United Future,0.0082,0
Rimutaka,2011,ACT,0.0068,0
Rimutaka,2011,Alliance,6.00E-04,0
Rimutaka,2011,Conservative Party,0.0278,0
Rimutaka,2011,Green Party,0.0997,0
Rimutaka,2011,Labour Party,0.32,0.0113
Rimutaka,2011,Mana,0.0023,0
Rimutaka,2011,Maori Party,0.0055,0
Rimutaka,2011,National Party,0.32,0.1275
Rimutaka,2011,New Zealand First Party,0.0626,0
Rimutaka,2011,United Future,0.0099,0
Rodney,2011,ACT,0.0119,0
Rodney,2011,Alliance,3.00E-04,0
Rodney,2011,Conservative Party,0.0638,0
Rodney,2011,Green Party,0.0847,0
Rodney,2011,Labour Party,0.1343,0
Rodney,2011,Mana,0.0015,0
Rodney,2011,Maori Party,0.0036,0
Rodney,2011,National Party,0.32,0.3015
Rodney,2011,New Zealand First Party,0.0697,0
Rodney,2011,United Future,0.004,0
Rongotai,2011,ACT,0.0065,0
Rongotai,2011,Alliance,6.00E-04,0
Rongotai,2011,Conservative Party,0.0111,0
Rongotai,2011,Green Party,0.1606,0.0813
Rongotai,2011,Labour Party,0.32,0.0218
Rongotai,2011,Mana,0.0054,0
Rongotai,2011,Maori Party,0.0068,0
Rongotai,2011,National Party,0.32,0.0099
Rongotai,2011,New Zealand First Party,0.0445,0
Rongotai,2011,United Future,0.0059,0
Rotorua,2011,ACT,0.0085,0
Rotorua,2011,Alliance,5.00E-04,0
Rotorua,2011,Conservative Party,0.0301,0
Rotorua,2011,Green Party,0.0857,0
Rotorua,2011,Labour Party,0.2195,0
Rotorua,2011,Mana,0.0104,0
Rotorua,2011,Maori Party,0.0128,0
Rotorua,2011,National Party,0.32,0.1927
Rotorua,2011,New Zealand First Party,0.1055,0
Rotorua,2011,United Future,0.0082,0
Selwyn,2011,ACT,0.0091,0
Selwyn,2011,Alliance,7.00E-04,0
Selwyn,2011,Conservative Party,0.0246,0
Selwyn,2011,Green Party,0.1144,0
Selwyn,2011,Labour Party,0.1612,0
Selwyn,2011,Mana,0.0014,0
Selwyn,2011,Maori Party,0.0037,0
Selwyn,2011,National Party,0.32,0.3065
Selwyn,2011,New Zealand First Party,0.0475,0
Selwyn,2011,United Future,0.0069,0
Tamaki,2011,ACT,0.0236,0
Tamaki,2011,Alliance,2.00E-04,0
Tamaki,2011,Conservative Party,0.0152,0
Tamaki,2011,Green Party,0.0877,0
Tamaki,2011,Labour Party,0.1758,0
Tamaki,2011,Mana,0.0027,0
Tamaki,2011,Maori Party,0.0051,0
Tamaki,2011,National Party,0.32,0.3242
Tamaki,2011,New Zealand First Party,0.0376,0
Tamaki,2011,United Future,0.0041,0
Taranaki-King Country,2011,ACT,0.0149,0
Taranaki-King Country,2011,Alliance,8.00E-04,0
Taranaki-King Country,2011,Conservative Party,0.038,0
Taranaki-King Country,2011,Green Party,0.0823,0
Taranaki-King Country,2011,Labour Party,0.1595,0
Taranaki-King Country,2011,Mana,0.0027,0
Taranaki-King Country,2011,Maori Party,0.0067,0
Taranaki-King Country,2011,National Party,0.32,0.2844
Taranaki-King Country,2011,New Zealand First Party,0.0726,0
Taranaki-King Country,2011,United Future,0.011,0
Taupo,2011,ACT,0.0117,0
Taupo,2011,Alliance,4.00E-04,0
Taupo,2011,Conservative Party,0.0366,0
Taupo,2011,Green Party,0.0755,0
Taupo,2011,Labour Party,0.2028,0
Taupo,2011,Mana,0.0041,0
Taupo,2011,Maori Party,0.0067,0
Taupo,2011,National Party,0.32,0.2431
Taupo,2011,New Zealand First Party,0.0839,0
Taupo,2011,United Future,0.0092,0
Tauranga,2011,ACT,0.0116,0
Tauranga,2011,Alliance,2.00E-04,0
Tauranga,2011,Conservative Party,0.0409,0
Tauranga,2011,Green Party,0.0876,0
Tauranga,2011,Labour Party,0.1501,0
Tauranga,2011,Mana,0.0016,0
Tauranga,2011,Maori Party,0.005,0
Tauranga,2011,National Party,0.32,0.2223
Tauranga,2011,New Zealand First Party,0.1159,0.0331
Tauranga,2011,United Future,0.0056,0
Te Atatu,2011,ACT,0.0088,0
Te Atatu,2011,Alliance,8.00E-04,0
Te Atatu,2011,Conservative Party,0.0276,0
Te Atatu,2011,Green Party,0.0724,0
Te Atatu,2011,Labour Party,0.32,0.0691
Te Atatu,2011,Mana,0.0052,0
Te Atatu,2011,Maori Party,0.0063,0
Te Atatu,2011,National Party,0.32,0.0919
Te Atatu,2011,New Zealand First Party,0.0675,0
Te Atatu,2011,United Future,0.0039,0
Tukituki,2011,ACT,0.0146,0
Tukituki,2011,Alliance,5.00E-04,0
Tukituki,2011,Conservative Party,0.038,0
Tukituki,2011,Green Party,0.0966,0
Tukituki,2011,Labour Party,0.2414,0
Tukituki,2011,Mana,0.0034,0
Tukituki,2011,Maori Party,0.0077,0
Tukituki,2011,National Party,0.32,0.206
Tukituki,2011,New Zealand First Party,0.0585,0
Tukituki,2011,United Future,0.0065,0
Upper Harbour,2011,ACT,0.012343364,0
Upper Harbour,2011,Alliance,0.000401022,0
Upper Harbour,2011,Conservative Party,0.031890411,0
Upper Harbour,2011,Green Party,0.068503478,0
Upper Harbour,2011,Labour Party,0.244500973,0
Upper Harbour,2011,Mana,0.00235404,0
Upper Harbour,2011,Maori Party,0.005139682,0
Upper Harbour,2011,National Party,0.32,0.251718502
Upper Harbour,2011,New Zealand First Party,0.053384819,0
Upper Harbour,2011,United Future,0.004202746,0
Waikato,2011,ACT,0.0193,0
Waikato,2011,Alliance,4.00E-04,0
Waikato,2011,Conservative Party,0.0408,0
Waikato,2011,Green Party,0.0702,0
Waikato,2011,Labour Party,0.1644,0
Waikato,2011,Mana,0.0029,0
Waikato,2011,Maori Party,0.0059,0
Waikato,2011,National Party,0.32,0.2798
Waikato,2011,New Zealand First Party,0.081,0
Waikato,2011,United Future,0.0077,0
Waimakariri,2011,ACT,0.0054,0
Waimakariri,2011,Alliance,5.00E-04,0
Waimakariri,2011,Conservative Party,0.0327,0
Waimakariri,2011,Green Party,0.0847,0
Waimakariri,2011,Labour Party,0.2341,0
Waimakariri,2011,Mana,0.001,0
Waimakariri,2011,Maori Party,0.0026,0
Waimakariri,2011,National Party,0.32,0.2489
Waimakariri,2011,New Zealand First Party,0.0592,0
Waimakariri,2011,United Future,0.0058,0
Wairarapa,2011,ACT,0.0133,0
Wairarapa,2011,Alliance,4.00E-04,0
Wairarapa,2011,Conservative Party,0.0375,0
Wairarapa,2011,Green Party,0.0983,0
Wairarapa,2011,Labour Party,0.233,0
Wairarapa,2011,Mana,0.0021,0
Wairarapa,2011,Maori Party,0.0062,0
Wairarapa,2011,National Party,0.32,0.1953
Wairarapa,2011,New Zealand First Party,0.0782,0
Wairarapa,2011,United Future,0.0068,0
Waitaki,2011,ACT,0.0112,0
Waitaki,2011,Alliance,6.00E-04,0
Waitaki,2011,Conservative Party,0.0285,0
Waitaki,2011,Green Party,0.119,0
Waitaki,2011,Labour Party,0.2142,0
Waitaki,2011,Mana,0.0013,0
Waitaki,2011,Maori Party,0.0035,0
Waitaki,2011,National Party,0.32,0.2329
Waitaki,2011,New Zealand First Party,0.0522,0
Waitaki,2011,United Future,0.0082,0
Wellington Central,2011,ACT,0.0117,0
Wellington Central,2011,Alliance,5.00E-04,0
Wellington Central,2011,Conservative Party,0.0069,0
Wellington Central,2011,Green Party,0.1606,0.1163
Wellington Central,2011,Labour Party,0.2656,0
Wellington Central,2011,Mana,0.0063,0
Wellington Central,2011,Maori Party,0.0071,0
Wellington Central,2011,National Party,0.32,0.0642
Wellington Central,2011,New Zealand First Party,0.0288,0
Wellington Central,2011,United Future,0.0065,0
West Coast-Tasman,2011,ACT,0.0082,0
West Coast-Tasman,2011,Alliance,5.00E-04,0
West Coast-Tasman,2011,Conservative Party,0.0318,0
West Coast-Tasman,2011,Green Party,0.1418,0
West Coast-Tasman,2011,Labour Party,0.2725,0
West Coast-Tasman,2011,Mana,0.0027,0
West Coast-Tasman,2011,Maori Party,0.0043,0
West Coast-Tasman,2011,National Party,0.32,0.1379
West Coast-Tasman,2011,New Zealand First Party,0.0572,0
West Coast-Tasman,2011,United Future,0.0139,0
Whanganui,2011,ACT,0.0108,0
Whanganui,2011,Alliance,7.00E-04,0
Whanganui,2011,Conservative Party,0.0323,0
Whanganui,2011,Green Party,0.0896,0
Whanganui,2011,Labour Party,0.2741,0
Whanganui,2011,Mana,0.0024,0
Whanganui,2011,Maori Party,0.0071,0
Whanganui,2011,National Party,0.32,0.1556
Whanganui,2011,New Zealand First Party,0.0953,0
Whanganui,2011,United Future,0.0045,0
Whangarei,2011,ACT,0.0173,0
Whangarei,2011,Alliance,4.00E-04,0
Whangarei,2011,Conservative Party,0.0422,0
Whangarei,2011,Green Party,0.1064,0
Whangarei,2011,Labour Party,0.2033,0
Whangarei,2011,Mana,0.0069,0
Whangarei,2011,Maori Party,0.0061,0
Whangarei,2011,National Party,0.32,0.1867
Whangarei,2011,New Zealand First Party,0.0968,0
Whangarei,2011,United Future,0.0052,0
Wigram,2011,ACT,0.0063,0
